group,arm,metric,level_median,paired_delta_median,positive_starts,better_starts
full,BASE,年化,0.4572364093852366,0.0,0,0
full,BASE,最大回撤,0.6689672533939561,0.0,0,0
full,BASE,Sharpe,0.9588288100685181,0.0,0,0
full,BASE,Calmar,0.6561606351855063,0.0,0,0
full,BASE,平均仓位,1.660779467976345,0.0,0,0
full,BASE,年均换手,6.627633597933826,0.0,0,0
full,BASE,持仓数中位,7.0,0.0,0,
full,BASE,单票权重中位,0.6461551739358572,0.0,0,
full,BASE,单票权重P90,0.8741921281231362,0.0,0,
full,BASE,单票权重最大,1.0338705467971252,0.0,0,
full,BASE,前三权重中位,1.4531012607812244,0.0,0,
full,BASE,单票超60%天数占比,0.7937519104160513,0.0,0,
full,BASE,滚动3年年化中位,0.4989443992397642,0.0,0,0
full,BASE,滚动3年回撤中位,0.4397975657240146,0.0,0,0
full,BASE,滚动3年Calmar中位,1.1804249293583802,0.0,0,
full,BASE,滚动3年Sharpe中位,1.0315887720922872,0.0,0,
full,BASE,滚动3年为负的窗口占比,0.012256442489000628,0.0,0,
full,BASE,滚动5年年化中位,0.5199538620061581,0.0,0,0
full,BASE,滚动5年年化P25,0.40994352866334094,0.0,0,0
full,BASE,滚动5年年化最差,0.1084102845327164,0.0,0,0
full,BASE,滚动5年回撤中位,0.4697761783723764,0.0,0,0
full,BASE,滚动5年Calmar中位,1.1286076723010412,0.0,0,0
full,BASE,滚动5年Sharpe中位,1.036881265922844,0.0,0,0
full,BASE,滚动5年为负的窗口占比,0.0,0.0,0,0
full,BASE,滚动5年窗口数,102.0,0.0,0,
full,BASE,互不重叠5年块中位,0.6611546440962315,0.0,0,0
full,BASE,滚动10年年化中位,0.4529726284620733,0.0,0,
full,BASE,滚动10年窗口数,42.0,0.0,0,
full,BASE,逐年收益中位,0.38483104075315044,0.0,0,0
full,BASE,逐年为正比例,0.7596153846153846,0.0,0,
full,BASE,逐年最差,-0.25567271903599903,0.0,0,0
full,BASE,完整自然年数,12.5,0.0,0,
full,BASE,强平次数,0.0,0.0,0,
full,BASE,最低担保比例,1.7861478545457574,0.0,0,
full,BASE,最低股票同跌缓冲,0.2721710203079535,0.0,0,
full,BASE,最低总资产冲击缓冲,0.27217102030795354,0.0,0,
full,BASE,rf覆盖率,1.0,0.0,0,
