signal_date,security_code,security_name,pv,signal_close,intrinsic_value,ma20,ma60,band_available_at,activation_date,anchor_date,stop_anchor,stop_line,qualification,rank,eligible_count,execution_date,execution_close,price_history_end,target_1y,end_1y,status_1y,end_close_1y,return_1y,target_3y,end_3y,status_3y,end_close_3y,return_3y,ma60_break_date
2009-11-05,000022,深赤湾A,0.9479,14.46,15.2553,13.657000000000034,13.566666666666713,2009-10-31,2009-11-05,,,,initial,1,1,2009-11-06,14.2,2018-12-20,2010-11-06,2010-11-08,complete,15.53,0.09366197183098746,2012-11-06,2012-11-06,complete,8.95,-0.3697183098591542,2009-12-22
2010-07-27,600660,福耀玻璃,0.9488,10.29,10.8458,9.507999999999967,9.48416666666666,2010-04-30,2010-07-27,,,,initial,1,1,2010-07-28,10.57,2026-08-07,2011-07-28,2011-07-28,complete,9.77,-0.03126271336516717,2013-07-28,2013-07-29,complete,7.12,-0.21237969081461694,2010-11-12
2010-07-28,000651,格力电器,1.0037,14.94,14.8856,13.467833333333402,13.440388888888911,2010-04-30,2010-07-28,,,,initial,2,2,2010-07-29,14.85,2026-08-07,2011-07-29,2011-07-29,complete,23.17,0.5821116751588058,2013-07-29,2013-07-29,complete,25.0,0.8155731667719792,2010-09-15
2010-08-05,000933,神火股份,0.8735,19.78,22.6453,18.89749999999999,18.88644047619048,2010-08-06,2010-08-05,,,,initial,1,5,2010-08-06,20.12,2026-08-07,2011-08-06,2011-08-08,complete,15.93,0.27771236125630816,2013-08-06,2013-08-06,complete,4.95,-0.5980423087454452,2010-09-21
2010-08-05,601088,中国神华,0.9407,23.42,24.8961,22.920499999999976,22.843,2010-04-30,2010-08-05,,,,initial,2,5,2010-08-06,23.83,2026-08-07,2011-08-06,2011-08-08,complete,27.41,0.18181897804431424,2013-08-06,2013-08-06,complete,16.38,-0.22258966480101672,2010-08-12
2010-08-18,600309,万华化学,1.0262,17.49,17.0441,16.495500000000046,16.455666666666684,2010-08-18,2010-08-18,,,,initial,3,4,2010-08-19,17.29,2026-08-07,2011-08-19,2011-08-19,complete,16.77,0.28243221817028674,2013-08-19,2013-08-19,complete,17.49,0.44918968335260656,2010-08-25
2011-07-27,600660,福耀玻璃,0.9024,9.95,11.0263,10.341999999999965,10.196166666666656,2011-04-22,2010-07-27,2010-07-28,8.90516666666666,8.90516666666666,continued_below_ma20,1,3,2011-07-28,9.77,2026-08-07,2012-07-28,2012-07-30,complete,7.48,-0.19477345042047378,2014-07-28,2014-07-28,complete,9.39,0.1390996415565804,2011-07-27
2011-08-03,000651,格力电器,0.8925,22.5,25.2112,23.342500000000097,22.60366666666668,2011-07-27,2010-07-28,2010-07-29,13.144333333333353,13.144333333333353,continued_below_ma20,1,3,2011-08-04,22.5,2026-08-07,2012-08-04,2012-08-06,complete,21.1,-0.040352404643450024,2014-08-04,2014-08-04,complete,30.75,0.5275681735991264,2011-08-03
2011-08-05,601088,中国神华,0.9809,28.78,29.3398,29.879999999999967,28.915999999999997,2011-04-30,2011-03-02,2011-03-03,23.749166666666667,23.749166666666667,continued_below_ma20,2,2,2011-08-08,27.41,2026-08-07,2012-08-08,2012-08-08,complete,22.68,-0.141766919573464,2014-08-08,2014-08-08,complete,15.47,-0.3378876375950727,2011-08-05
2011-11-04,600897,厦门空港,0.9977,14.08,14.1123,13.711500000000022,13.662999999999993,2011-10-26,2011-11-04,,,,initial,1,1,2011-11-07,14.01,2026-08-07,2012-11-07,2012-11-07,complete,12.76,-0.08237917426159713,2014-11-07,2014-11-07,complete,20.02,0.5299140040724821,2011-11-18
2012-02-13,000338,潍柴动力,0.6377,33.61,52.7091,33.57849999999999,33.47299999999997,2011-10-29,2012-02-13,,,,initial,1,4,2012-02-14,33.2,2026-08-07,2013-02-14,2013-02-18,complete,27.55,0.004962444362693663,2015-02-14,2015-02-16,complete,26.75,0.005208875822898751,2012-02-14
2012-02-17,002128,电投能源,0.7532,14.97,19.8744,14.712000000000003,14.60433333333338,2011-10-20,2012-02-16,2012-02-17,14.60433333333338,14.60433333333338,continued,3,6,2012-02-20,15.0,2026-08-07,2013-02-20,2013-02-20,complete,13.49,-0.0685476190476173,2015-02-20,2015-02-25,complete,10.12,-0.27878003675044827,2012-03-29
2012-05-02,600585,海螺水泥,0.5449,17.7,32.4826,17.12949999999997,17.058833333333325,2012-04-20,2012-05-02,,,,initial,1,3,2012-05-03,17.26,2026-08-07,2013-05-03,2013-05-03,complete,17.73,0.049885329892864094,2015-05-03,2015-05-04,complete,24.63,0.5162227105415149,2012-05-07
2012-05-09,600309,万华化学,1.0238,14.83,14.4859,13.864500000000046,13.84866666666668,2012-04-17,2012-05-09,,,,initial,3,3,2012-05-10,14.79,2026-08-07,2013-05-10,2013-05-10,complete,18.52,0.298996053306533,2015-05-10,2015-05-11,complete,24.56,0.7980554660414425,2012-06-25
