HS300now|2009-11-01|0.180888|0.787853|0.343821|0.229596|0.963588|4.481674|0.221947|0.477600|0.537936|0.208333|0.237792|0.659953|0.097902|0.360693|0.625000|-0.650093|16.000000
HS300now|2010-05-01|0.210818|0.707068|0.477935|0.298158|0.969072|4.524394|0.234112|0.376806|0.607893|0.155280|0.280707|0.427015|0.058394|0.359883|0.600000|-0.281118|15.000000
HS300now|2010-11-01|0.171228|0.721581|0.330373|0.237296|0.898537|4.958864|0.263766|0.561560|0.608566|0.217949|0.253372|0.561560|0.076336|0.349268|0.600000|-0.441731|15.000000
HS300now|2011-05-01|0.210381|0.733460|0.459172|0.286834|0.945985|4.625615|0.275072|0.407509|0.788370|0.080537|0.325428|0.407509|0.048000|0.332633|0.642857|-0.309640|14.000000
HS300now|2011-11-01|0.238003|0.698336|0.577102|0.340815|0.970773|4.398590|0.267352|0.384247|0.782004|0.062937|0.357180|0.393392|0.050420|0.370863|0.642857|-0.272746|14.000000
HS300now|2012-05-01|0.225098|0.692071|0.501073|0.325253|0.953303|6.771865|0.283105|0.502305|0.688858|0.145985|0.352272|0.502305|0.088496|0.272054|0.692308|-0.389586|13.000000
HS300now|2012-11-01|0.262800|0.711887|0.619949|0.369160|0.987289|6.539404|0.271563|0.368609|0.836818|0.068702|0.422448|0.394146|0.046729|0.323049|0.692308|-0.308557|13.000000
HS300now|2013-05-01|0.223695|0.672961|0.512184|0.332405|0.963546|4.559733|0.246985|0.398402|0.730091|0.160000|0.359653|0.491850|0.089109|0.349404|0.666667|-0.378574|12.000000
HS300now|2013-11-01|0.279190|0.662459|0.687778|0.421445|0.992443|4.122959|0.259995|0.362258|0.857519|0.092437|0.415029|0.362258|0.073684|0.353091|0.666667|-0.260330|12.000000
HS300now|2014-05-01|0.269901|0.698931|0.671783|0.386162|0.992007|4.126510|0.263346|0.356706|0.825130|0.256637|0.345913|0.484104|0.101124|0.113435|0.636364|-0.398135|11.000000
HS300now|2014-11-01|0.274020|0.743662|0.630821|0.368474|0.967967|6.808730|0.279601|0.413565|0.947322|0.112150|0.467859|0.413565|0.084337|0.322913|0.727273|-0.404213|11.000000
HS300now|2015-05-01|0.231994|0.795306|0.489559|0.291704|0.919191|4.446423|0.373518|0.425780|1.034413|0.019802|0.551986|0.425780|0.026316|0.541590|0.700000|-0.307163|10.000000
HS300now|2015-11-01|0.296535|0.411944|0.748646|0.719843|0.979065|4.444908|0.344702|0.358427|1.044366|0.000000|0.483531|0.392936|0.000000|0.425732|0.700000|-0.228146|10.000000
HS300now|2016-05-01|0.321471|0.486136|0.801906|0.661279|0.990518|6.727903|0.303665|0.345732|0.938726|0.000000|0.459967|0.465821|0.000000|0.301054|0.888889|-0.169904|9.000000
HS300now|2016-11-01|0.348555|0.547657|0.870612|0.636447|0.995208|6.727767|0.303511|0.345675|1.034229|0.000000|0.442628|0.479839|0.000000|0.203897|0.888889|-0.190918|9.000000
HS300now|2017-05-01|0.342119|0.451979|0.872162|0.756936|0.994764|4.327746|0.353679|0.343608|1.189943|0.000000|0.465153|0.343608|0.000000|0.294763|0.750000|-0.167433|8.000000
HS300now|2017-11-01|0.290585|0.549846|0.633427|0.528485|0.988539|4.627338|0.402230|0.356830|1.302746|0.000000|0.482508|0.398781|0.000000|0.272247|0.750000|-0.241496|8.000000
HS300now|2018-05-01|0.236091|0.765161|0.419646|0.308550|0.977851|5.350131|0.444920|0.370959|1.166232|0.000000|0.509552|0.552235|0.000000|0.542102|0.857143|-0.043287|7.000000
HS300now|2018-11-01|0.226070|0.545004|0.469130|0.414805|0.987757|5.787681|0.245869|0.417511|0.910320|0.034483|0.345756|0.500293|0.000000|0.144220|0.714286|-0.223957|7.000000
HS300now|2019-05-01|0.401153|0.350738|1.022469|1.143741|0.987464|6.999262|0.320315|0.350738|1.083661|0.000000|0.535253|0.350738|0.000000|0.456799|1.000000|0.114216|6.000000
HS300now|2019-11-01|0.386215|0.338777|0.982319|1.140027|0.995210|4.726621|0.401010|0.330053|1.308006|0.000000|0.501089|0.338777|0.000000|0.594205|0.833333|-0.038674|6.000000
HS300now|2020-05-01|0.435133|0.336351|1.175856|1.293685|0.994240|4.810161|0.349341|0.236218|1.156651|0.000000|0.366065|0.336351|0.000000|0.526525|0.800000|-0.038206|5.000000
HS300now|2020-11-01|0.329102|0.372592|0.833015|0.883278|0.994193|4.922903|0.350358|0.246536|1.106054|0.000000|0.340617|0.372592|0.000000|0.508265|0.800000|-0.043623|5.000000
ZZ1000now|2009-11-01|-0.082373|0.976709|-0.191403|-0.084338|0.639994|2.626519|-0.049033|0.696876|-0.117409|0.577381|-0.123857|0.835711|0.720280|0.000000|0.437500|-0.647243|16.000000
