group,arm,start,nav_tag,策略,期末资产,计量版本,首个净值日,末次净值日,滚动3年Calmar中位,滚动3年Calmar_P10,滚动3年Calmar_P90,滚动3年Sharpe中位,滚动3年回撤中位,滚动3年年化中位,滚动3年年化P25,滚动3年为负的窗口占比,滚动窗口数,滚动5年年化中位,滚动5年年化P25,滚动5年年化P10,滚动5年年化最差,滚动5年回撤中位,滚动5年Calmar中位,滚动5年Sharpe中位,滚动5年为负的窗口占比,滚动5年窗口数,滚动5年窗口年化,滚动5年年化最差窗口末日,互不重叠5年块中位,互不重叠5年块数,滚动10年年化中位,滚动10年年化P10,滚动10年回撤中位,滚动10年为负的窗口占比,滚动10年窗口数,逐年收益中位,逐年收益均值,逐年最差,逐年最好,逐年为正比例,完整自然年数,总收益,年化,年化_交易日口径,年化波动,最大回撤,回撤区间,最大回撤起日,最大回撤止日,Calmar,Sharpe,rf覆盖率,强平次数,最低担保比例,最低担保比例日,最低股票同跌缓冲,最低股票同跌缓冲日,最低总资产冲击缓冲,最低总资产冲击缓冲日,最低现金,最低现金日,负现金日数,平均仓位,周期数,持仓数中位,持仓数P25,单票权重中位,单票权重P90,单票权重最大,前三权重中位,前三权重P90,前三权重最大,单票超60%天数占比,单票超100%天数占比,胜率,盈亏比,平均持有天数,买入笔数,卖出笔数,年均换手,前五赢家,前五赢家贡献,前五赢家占正贡献,累计手续费,手续费占初始本金,基准年化
full,BASE,2009-11-01,BASEfull20091101,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_ca2_addma_swk20_cap0.6s_sp_gso_ebcap0.03r_c0.3h0.035_lot100_lrc2_BASEfull20091101,578081993.0810225,m3,2009-11-02,2026-08-28,0.9316888865622946,0.1066790497601096,1.7043574186025958,0.9289592974099138,0.43068937967410037,0.39516767041264855,0.27459770413386875,0.06666666666666667,165,0.4178097079530745,0.320252308302045,0.1439063583715361,0.02399545734174091,0.45686121249193146,0.9886108074462389,0.9598993513935653,0.0,141,2014-11=0.09760837524;2014-12=0.1723324995;2015-01=0.1439063584;2015-02=0.1498261122;2015-03=0.1821946208;2015-04=0.2409703211;2015-05=0.2490207842;2015-06=0.2507454433;2015-07=0.23941966;2015-08=0.2312869075;2015-09=0.235543955;2015-10=0.1407454441;2015-11=0.120941653;2015-12=0.1384101534;2016-01=0.05839579833;2016-02=0.04966138431;2016-03=0.05073459301;2016-04=0.05610494493;2016-05=0.03509101701;2016-06=0.02399545734;2016-07=0.06096264782;2016-08=0.09882851177;2016-09=0.1106200432;2016-10=0.1410293036;2016-11=0.1783620438;2016-12=0.1606337456;2017-01=0.1918238732;2017-02=0.1760325461;2017-03=0.2226813765;2017-04=0.1957698169;2017-05=0.197715448;2017-06=0.2972278317;2017-07=0.3227535203;2017-08=0.3582450164;2017-09=0.3538411123;2017-10=0.3627436012;2017-11=0.3882186552;2017-12=0.3367219403;2018-01=0.3528508308;2018-02=0.3506509795;2018-03=0.386438061;2018-04=0.4069589783;2018-05=0.3974637226;2018-06=0.4762136737;2018-07=0.4777866915;2018-08=0.4444589452;2018-09=0.4276749696;2018-10=0.3463397414;2018-11=0.3244492122;2018-12=0.3056841032;2019-01=0.414844449;2019-02=0.4686087026;2019-03=0.5258480764;2019-04=0.514775888;2019-05=0.4845079405;2019-06=0.5153039788;2019-07=0.4612474293;2019-08=0.4572221759;2019-09=0.4407274295;2019-10=0.4597528557;2019-11=0.4781737692;2019-12=0.4594678094;2020-01=0.4569856951;2020-02=0.4516579322;2020-03=0.3438243314;2020-04=0.3202523083;2020-05=0.3175973499;2020-06=0.3084622209;2020-07=0.44193648;2020-08=0.4137649125;2020-09=0.369501925;2020-10=0.3616932665;2020-11=0.4553144439;2020-12=0.4151740993;2021-01=0.498624801;2021-02=0.5263216501;2021-03=0.5397140254;2021-04=0.529617703;2021-05=0.5761734249;2021-06=0.5575574871;2021-07=0.4964801786;2021-08=0.5887456287;2021-09=0.6296106452;2021-10=0.5306556692;2021-11=0.4934806678;2021-12=0.6127382809;2022-01=0.5586310662;2022-02=0.5812620314;2022-03=0.5830433159;2022-04=0.5852126043;2022-05=0.5630825593;2022-06=0.5139070081;2022-07=0.481701691;2022-08=0.4580364957;2022-09=0.4624614586;2022-10=0.417809708;2022-11=0.4079601903;2022-12=0.4114801438;2023-01=0.3636917938;2023-02=0.3718686176;2023-03=0.3851920437;2023-04=0.4122983949;2023-05=0.420647612;2023-06=0.4144002128;2023-07=0.4264999544;2023-08=0.433779905;2023-09=0.4385708348;2023-10=0.4862597285;2023-11=0.5096205619;2023-12=0.5239089618;2024-01=0.4917995022;2024-02=0.482912409;2024-03=0.4438968182;2024-04=0.4779335264;2024-05=0.5414555376;2024-06=0.4809773207;2024-07=0.4314494135;2024-08=0.4127508909;2024-09=0.5089973946;2024-10=0.4807043406;2024-11=0.4231693952;2024-12=0.3468472512;2025-01=0.3985430135;2025-02=0.3707504863;2025-03=0.4549453231;2025-04=0.3802569969;2025-05=0.4035211486;2025-06=0.420296962;2025-07=0.3207192906;2025-08=0.3968463673;2025-09=0.4905976996;2025-10=0.5437268332;2025-11=0.455634569;2025-12=0.5168890189;2026-01=0.6902400655;2026-02=0.6611815809;2026-03=0.6154126734;2026-04=0.6228640719;2026-05=0.5861906734;2026-06=0.5774852807;2026-07=0.6589133951,2016-06-30,0.49648017863168326,3,0.3980545775697639,0.27187325314260447,0.4628639095528936,0.0,81,0.32672763905718316,0.44681903599868666,-0.26389988949244203,1.8796515789233137,0.8125,16,191.69399769367416,0.36726755725224813,0.368810476498183,0.4019614473368071,0.4725948444984387,2024-05-29~2024-09-11,2024-05-29,2024-09-11,0.7771298428827051,0.9061281341170052,0.9845890410958904,0,1.8860743194285468,2013-06-17,0.31073765937607306,2013-06-17,0.3107376593760731,2013-06-17,0.0,2010-09-06,0,1.4437819430991328,269,6,4,0.6312341772342966,0.8465941753821287,1.143826527892147,1.4383436839423143,1.6036445991731727,1.96828034790382,0.685529908165798,0.04765450483991065,0.3754646840148699,9.528538650063144,139.14869888475837,2242,1077,5.905247036769663,002128/000933/601088/000651/000338,4.722037483413517,0.6242858749071545,2648854.1567340023,0.8829513855780008,1.96%（同期超额 +34.77%）
full,BASE,2010-05-01,BASEfull20100501,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_ca2_addma_swk20_cap0.6s_sp_gso_ebcap0.03r_c0.3h0.035_lot100_lrc2_BASEfull20100501,526938572.8820728,m3,2010-05-04,2026-08-28,0.9741922686420748,0.07051040960342557,1.6520796105547737,0.9322358829674177,0.4498137267179637,0.4030365324330156,0.2732215974651413,0.07547169811320754,159,0.41026971667376744,0.326596524249813,0.16638693054846065,0.03323729122659547,0.4573962037591718,0.9758465397154484,0.9452755428744684,0.0,135,2015-05=0.25540004;2015-06=0.2588264341;2015-07=0.2446010628;2015-08=0.2357022099;2015-09=0.2394242114;2015-10=0.1437982849;2015-11=0.1244063674;2015-12=0.141254557;2016-01=0.0610505263;2016-02=0.05269065308;2016-03=0.05539146995;2016-04=0.06308185389;2016-05=0.03912700348;2016-06=0.03323729123;2016-07=0.06364496555;2016-08=0.1061606207;2016-09=0.1178520007;2016-10=0.15307662;2016-11=0.182540894;2016-12=0.1663869305;2017-01=0.1917632726;2017-02=0.1768827261;2017-03=0.2218381188;2017-04=0.2058235159;2017-05=0.2115686862;2017-06=0.2969374608;2017-07=0.3205448083;2017-08=0.3813623586;2017-09=0.3703738727;2017-10=0.3663039408;2017-11=0.3891549195;2017-12=0.3341145533;2018-01=0.3464256161;2018-02=0.3425411207;2018-03=0.3772365247;2018-04=0.3977248732;2018-05=0.3875070056;2018-06=0.464971996;2018-07=0.4658155085;2018-08=0.4333057466;2018-09=0.4154612842;2018-10=0.3326924802;2018-11=0.3104915759;2018-12=0.2909127549;2019-01=0.4009799793;2019-02=0.4557633226;2019-03=0.5141870743;2019-04=0.5026154474;2019-05=0.4732765544;2019-06=0.5038683324;2019-07=0.4522549551;2019-08=0.4489558687;2019-09=0.4343260274;2019-10=0.4487511156;2019-11=0.4687878079;2019-12=0.4619853118;2020-01=0.4408422452;2020-02=0.4333633641;2020-03=0.3265965242;2020-04=0.3012428655;2020-05=0.2940730174;2020-06=0.2897132149;2020-07=0.4102205067;2020-08=0.3846655396;2020-09=0.3443747338;2020-10=0.3356979494;2020-11=0.4280381019;2020-12=0.3847083594;2021-01=0.4625307496;2021-02=0.4894403404;2021-03=0.5022441124;2021-04=0.4887122119;2021-05=0.5383170149;2021-06=0.5117198353;2021-07=0.4634220972;2021-08=0.5492961346;2021-09=0.5853631278;2021-10=0.4811331133;2021-11=0.4552804159;2021-12=0.5667805313;2022-01=0.5220899212;2022-02=0.5447908745;2022-03=0.5517265344;2022-04=0.5548344388;2022-05=0.5347189579;2022-06=0.4936047953;2022-07=0.467607632;2022-08=0.4173943244;2022-09=0.4283948899;2022-10=0.3970671472;2022-11=0.3893574719;2022-12=0.3944583384;2023-01=0.3519064819;2023-02=0.3622686533;2023-03=0.3753688564;2023-04=0.4012714737;2023-05=0.4102697167;2023-06=0.404656107;2023-07=0.4163596055;2023-08=0.4238388336;2023-09=0.4303986484;2023-10=0.479476682;2023-11=0.5024518891;2023-12=0.5175986768;2024-01=0.4838099335;2024-02=0.4746199617;2024-03=0.4356259943;2024-04=0.468541707;2024-05=0.5338197762;2024-06=0.472048867;2024-07=0.4221976384;2024-08=0.4035395859;2024-09=0.4992945962;2024-10=0.4714136193;2024-11=0.4147055989;2024-12=0.3392682125;2025-01=0.397663372;2025-02=0.362547864;2025-03=0.4455912762;2025-04=0.3660768986;2025-05=0.3972368664;2025-06=0.4078486042;2025-07=0.3227277464;2025-08=0.397055024;2025-09=0.4863071325;2025-10=0.5440244342;2025-11=0.4570431205;2025-12=0.5212449078;2026-01=0.6936943258;2026-02=0.6624610163;2026-03=0.6121728494;2026-04=0.6205859803;2026-05=0.5835650084;2026-06=0.5747572615;2026-07=0.6538104738,2016-06-30,0.4634220971879284,3,0.3917748178443292,0.25908792436456807,0.4573962037591718,0.0,75,0.3748260219059172,0.4329735676807866,-0.2560426427131701,1.892843667364546,0.8,15,174.64619096069094,0.37264883572072116,0.3743482240688356,0.4075060423911973,0.47680044694243995,2024-05-29~2024-09-11,2024-05-29,2024-09-11,0.78156142283505,0.9082724171008674,1.0,0,1.890055603033468,2013-06-17,0.3121895472738743,2013-06-17,0.3121895472738744,2013-06-17,-4.656612873077393e-10,2025-04-18,0,1.4826445795908776,264,6.0,5.0,0.6330687508714139,0.8765339401197682,1.1692460385745247,1.4330857475507424,1.621559158045636,1.9652954864082477,0.7067553735926305,0.05348004094165814,0.36742424242424243,9.635515057452187,140.8901515151515,2098,991,5.911462826460263,002128/601088/000933/000651/000338,4.749752542257886,0.6379266773899518,2472060.8672120003,0.8240202890706668,2.75%（同期超额 +34.51%）
full,BASE,2010-11-01,BASEfull20101101,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_ca2_addma_swk20_cap0.6s_sp_gso_ebcap0.03r_c0.3h0.035_lot100_lrc2_BASEfull20101101,289061667.84906983,m3,2010-11-01,2026-08-28,0.9860657752049078,0.2509987531494003,1.6034281188242294,0.9451242782413546,0.43144885830277235,0.4022352967253291,0.2915897707850712,0.0784313725490196,153,0.4268244395324474,0.33478646148793456,0.1160710192165526,0.0036727299876178066,0.4577825433555266,0.9541271503545413,0.961713428287757,0.0,129,2015-11=0.07587728738;2015-12=0.09165890273;2016-01=0.01889108542;2016-02=0.017946936;2016-03=0.02348912728;2016-04=0.03450649642;2016-05=0.009622502422;2016-06=0.003672729988;2016-07=0.03172676429;2016-08=0.06747531585;2016-09=0.07238078811;2016-10=0.1160710192;2016-11=0.1250597207;2016-12=0.1083559833;2017-01=0.1404484868;2017-02=0.1335227441;2017-03=0.1866388038;2017-04=0.1739153702;2017-05=0.1787839591;2017-06=0.2609948109;2017-07=0.2864384132;2017-08=0.3432735444;2017-09=0.3347864615;2017-10=0.3338197992;2017-11=0.3582659169;2017-12=0.3020276051;2018-01=0.3181669999;2018-02=0.3145974146;2018-03=0.3543184621;2018-04=0.3692815195;2018-05=0.3608082625;2018-06=0.4455781845;2018-07=0.4517430617;2018-08=0.4192018298;2018-09=0.4003489826;2018-10=0.3229901281;2018-11=0.3001522223;2018-12=0.2831990305;2019-01=0.3910030641;2019-02=0.4445971263;2019-03=0.5010602474;2019-04=0.4917995016;2019-05=0.4623551185;2019-06=0.491380312;2019-07=0.4367827536;2019-08=0.432267707;2019-09=0.4149305931;2019-10=0.4338265771;2019-11=0.4521584646;2019-12=0.4342242363;2020-01=0.4265013664;2020-02=0.4275653621;2020-03=0.3229819206;2020-04=0.3029808559;2020-05=0.2948042388;2020-06=0.2919069707;2020-07=0.4112928833;2020-08=0.3862113735;2020-09=0.3430434465;2020-10=0.3368835564;2020-11=0.4317616706;2020-12=0.3904173309;2021-01=0.4736796315;2021-02=0.4995804192;2021-03=0.5144312866;2021-04=0.5014195611;2021-05=0.5522076523;2021-06=0.5255121362;2021-07=0.4775550348;2021-08=0.5650457478;2021-09=0.6013337219;2021-10=0.4866543912;2021-11=0.4559836634;2021-12=0.5791053262;2022-01=0.5313213279;2022-02=0.5591397568;2022-03=0.5651658488;2022-04=0.5678153807;2022-05=0.547346459;2022-06=0.5105903775;2022-07=0.4850516402;2022-08=0.4353500635;2022-09=0.4461739582;2022-10=0.41547109;2022-11=0.4068128705;2022-12=0.4146495719;2023-01=0.3702267056;2023-02=0.3802120307;2023-03=0.3945558661;2023-04=0.4227398516;2023-05=0.4321970315;2023-06=0.4262449846;2023-07=0.4381414744;2023-08=0.4450337366;2023-09=0.4517935841;2023-10=0.5025600669;2023-11=0.5273744054;2023-12=0.5427908543;2024-01=0.5075755358;2024-02=0.4971285656;2024-03=0.4560697464;2024-04=0.4901723073;2024-05=0.5531525187;2024-06=0.490558965;2024-07=0.4405514214;2024-08=0.4224930984;2024-09=0.5231905757;2024-10=0.4981600641;2024-11=0.4405515956;2024-12=0.3600361432;2025-01=0.4174285315;2025-02=0.3816687403;2025-03=0.4656127742;2025-04=0.3852173431;2025-05=0.4161693159;2025-06=0.4268244395;2025-07=0.3400830891;2025-08=0.4148344239;2025-09=0.5055300867;2025-10=0.5612111716;2025-11=0.470146407;2025-12=0.5298784479;2026-01=0.6956579529;2026-02=0.6663552994;2026-03=0.6144035349;2026-04=0.6226703588;2026-05=0.5810379474;2026-06=0.5723603492;2026-07=0.6502722405,2016-06-30,0.47755503478437955,3,0.39575477282121696,0.24492478112717553,0.47141326365957104,0.0,69,0.2824499854122555,0.42090405474734666,-0.23669602588959127,1.8938935019289533,0.6666666666666666,15,95.35388928302328,0.33470854576517506,0.335968698962511,0.41105362825393843,0.5102644698193384,2011-07-13~2013-06-25,2011-07-13,2013-06-25,0.6559511107714011,0.8353245833747489,1.0,0,1.8675659127772655,2013-06-17,0.30390676382245363,2013-06-17,0.30390676382245363,2013-06-17,-2.9103830456733704e-11,2021-01-18,0,1.4880642075083654,268,6,5.0,0.6260005266727742,0.7572326903594315,1.0321032870734839,1.4161293115876097,1.612933097052066,1.9866458605721407,0.6867501999466809,0.008797653958944282,0.3694029850746269,9.47800776201055,135.75746268656715,2130,783,5.8777293479660075,002128/601088/000338/000933/000651,4.179295510652936,0.6144549391794755,1364474.2767119992,0.45482475890399976,1.93%（同期超额 +31.54%）
full,BASE,2011-05-01,BASEfull20110501,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_ca2_addma_swk20_cap0.6s_sp_gso_ebcap0.03r_c0.3h0.035_lot100_lrc2_BASEfull20110501,289814060.9144778,m3,2011-05-03,2026-08-28,1.0005359140631278,0.4529911510403978,1.6029927132690394,0.9543114189332854,0.4287942655139574,0.4158582343015893,0.3048298751347429,0.027210884353741496,147,0.4234167056366722,0.34616882615784306,0.20800687979151222,0.04255605346284086,0.45827343180007174,0.9916783658133914,0.959667004543171,0.0,123,2016-05=0.04255605346;2016-06=0.04584112504;2016-07=0.07473822449;2016-08=0.1053685775;2016-09=0.1037283098;2016-10=0.1364816966;2016-11=0.145591016;2016-12=0.1288022536;2017-01=0.1610417801;2017-02=0.1537974197;2017-03=0.2080068798;2017-04=0.1949354405;2017-05=0.2000628602;2017-06=0.2839776752;2017-07=0.3098146587;2017-08=0.3680076355;2017-09=0.3590715272;2017-10=0.3583386943;2017-11=0.3822986547;2017-12=0.3254751015;2018-01=0.3415480967;2018-02=0.3377805631;2018-03=0.378085716;2018-04=0.393232584;2018-05=0.3845097543;2018-06=0.4706684149;2018-07=0.4768960138;2018-08=0.4437172837;2018-09=0.4246100117;2018-10=0.3461688262;2018-11=0.3229067379;2018-12=0.3055199512;2019-01=0.4144556169;2019-02=0.4687641522;2019-03=0.5262074978;2019-04=0.5169626999;2019-05=0.4870419812;2019-06=0.5165252835;2019-07=0.4602787396;2019-08=0.4544598479;2019-09=0.4366518034;2019-10=0.451102054;2019-11=0.4706402724;2019-12=0.4665891921;2020-01=0.4446861007;2020-02=0.4340917219;2020-03=0.3250436663;2020-04=0.2996594974;2020-05=0.2930580078;2020-06=0.2883234939;2020-07=0.4087789795;2020-08=0.3818503658;2020-09=0.339704029;2020-10=0.3308890357;2020-11=0.4233930641;2020-12=0.3826049054;2021-01=0.4633189884;2021-02=0.4902659123;2021-03=0.5040024394;2021-04=0.4904853085;2021-05=0.5403353795;2021-06=0.5137721771;2021-07=0.4661205195;2021-08=0.5518845921;2021-09=0.5913802851;2021-10=0.4874163998;2021-11=0.4611771157;2021-12=0.5752962237;2022-01=0.5300374433;2022-02=0.5546899486;2022-03=0.5621870447;2022-04=0.5619964041;2022-05=0.5443036034;2022-06=0.5019991417;2022-07=0.4734982867;2022-08=0.4234167056;2022-09=0.4312512974;2022-10=0.3981116576;2022-11=0.3905717253;2022-12=0.3897488593;2023-01=0.3529332263;2023-02=0.3628426317;2023-03=0.3771612633;2023-04=0.4020197741;2023-05=0.4154249948;2023-06=0.4109825244;2023-07=0.4198382034;2023-08=0.426357191;2023-09=0.4315830671;2023-10=0.4826589613;2023-11=0.5095547604;2023-12=0.5237509848;2024-01=0.4841466994;2024-02=0.4784058691;2024-03=0.4346415983;2024-04=0.4742901919;2024-05=0.5363903048;2024-06=0.4729568522;2024-07=0.4232158012;2024-08=0.4017765096;2024-09=0.4550941147;2024-10=0.4432243499;2024-11=0.3992713548;2024-12=0.3197534249;2025-01=0.3656394981;2025-02=0.3346922853;2025-03=0.4111061434;2025-04=0.3422291669;2025-05=0.3844393339;2025-06=0.4053450695;2025-07=0.314525386;2025-08=0.382171333;2025-09=0.4620799248;2025-10=0.5272265781;2025-11=0.4341299664;2025-12=0.4901293516;2026-01=0.646797156;2026-02=0.6177506627;2026-03=0.5682083175;2026-04=0.576558753;2026-05=0.5401120942;2026-06=0.5307816556;2026-07=0.608478209,2016-05-31,0.46612051952073497,3,0.3976192731956478,0.3207670096791173,0.47103178367791476,0.0,63,0.41784491520528855,0.4605175798825512,-0.17218670388171542,1.8937348520211819,0.7142857142857143,14,95.60468697149261,0.3475984600259461,0.3489291712331255,0.4067252760428207,0.49148299078686264,2024-05-29~2024-09-11,2024-05-29,2024-09-11,0.7072441295871543,0.8643291602985289,1.0,0,1.8706977963548914,2013-06-17,0.3050721487280909,2013-06-17,0.30507214872809096,2013-06-17,0.0,2011-07-19,0,1.5144306420891926,281,6,5,0.632938110657273,0.7680139759608707,1.0272365049159509,1.4094852796411503,1.6283627707311639,1.98385236516656,0.7211244085722238,0.006679654884497634,0.3594306049822064,7.185743134680298,126.33096085409252,2164,763,6.333848623151364,002128/601088/000338/000651/600585,4.024279723297292,0.6029999135168781,1549704.951008001,0.516568317002667,2.52%（同期超额 +32.24%）
full,BASE,2011-11-01,BASEfull20111101,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_ca2_addma_swk20_cap0.6s_sp_gso_ebcap0.03r_c0.3h0.035_lot100_lrc2_BASEfull20111101,362965535.1370287,m3,2011-11-01,2026-08-28,1.0484096156140832,0.554971133797842,1.711813681226049,0.9565874465563436,0.39773767366780466,0.4237335308102932,0.32089334526886737,0.0,141,0.42795159678833405,0.36248701718314424,0.3002322912315216,0.11810495619447625,0.4554295822333855,1.0112911806319191,0.9766392896077295,0.0,117,2016-11=0.1351871872;2016-12=0.1181049562;2017-01=0.1507535094;2017-02=0.1433578601;2017-03=0.1969314696;2017-04=0.1840746034;2017-05=0.1889314609;2017-06=0.2728920421;2017-07=0.299107775;2017-08=0.353431302;2017-09=0.3455409461;2017-10=0.3466805759;2017-11=0.3707305337;2017-12=0.3148634578;2018-01=0.3311747768;2018-02=0.3276669745;2018-03=0.3677686299;2018-04=0.382925195;2018-05=0.3744353222;2018-06=0.4599179978;2018-07=0.4659138262;2018-08=0.4329775019;2018-09=0.4160139288;2018-10=0.3401101912;2018-11=0.3170040186;2018-12=0.3002322912;2019-01=0.4068051395;2019-02=0.4605719199;2019-03=0.5175840077;2019-04=0.508132996;2019-05=0.4780858303;2019-06=0.5076578067;2019-07=0.4518953211;2019-08=0.4465795241;2019-09=0.4269281669;2019-10=0.445041162;2019-11=0.4629127825;2019-12=0.4496084213;2020-01=0.4386571754;2020-02=0.435677583;2020-03=0.3296414839;2020-04=0.3074969787;2020-05=0.2996786613;2020-06=0.2966378959;2020-07=0.4161536897;2020-08=0.3907328346;2020-09=0.3502441287;2020-10=0.3415607173;2020-11=0.4316601713;2020-12=0.385402902;2021-01=0.4604010081;2021-02=0.4876886802;2021-03=0.500601776;2021-04=0.4879201619;2021-05=0.5361673182;2021-06=0.5093966448;2021-07=0.4603094458;2021-08=0.5468659175;2021-09=0.5846141276;2021-10=0.4820216816;2021-11=0.4551526992;2021-12=0.5667196207;2022-01=0.5206458496;2022-02=0.543111018;2022-03=0.5504117427;2022-04=0.5532034317;2022-05=0.5332771845;2022-06=0.4920308654;2022-07=0.4650139337;2022-08=0.4178269642;2022-09=0.4279515968;2022-10=0.3949740848;2022-11=0.3866105639;2022-12=0.391860187;2023-01=0.3489560419;2023-02=0.3590233207;2023-03=0.3719992543;2023-04=0.397711557;2023-05=0.4065979597;2023-06=0.4010863063;2023-07=0.4128320041;2023-08=0.4203291793;2023-09=0.4251357993;2023-10=0.4718675235;2023-11=0.4946453878;2023-12=0.5091052297;2024-01=0.4774998362;2024-02=0.4685799743;2024-03=0.4298461283;2024-04=0.4643470071;2024-05=0.5259499539;2024-06=0.469104489;2024-07=0.4213125713;2024-08=0.4038664381;2024-09=0.4939245525;2024-10=0.4650183942;2024-11=0.4074945602;2024-12=0.3375969605;2025-01=0.3950266914;2025-02=0.3584993863;2025-03=0.441637064;2025-04=0.3624870172;2025-05=0.39274261;2025-06=0.4018380511;2025-07=0.3167133178;2025-08=0.3905569445;2025-09=0.4788001306;2025-10=0.5342709556;2025-11=0.4508654018;2025-12=0.5177781301;2026-01=0.6954909718;2026-02=0.665274333;2026-03=0.6158645089;2026-04=0.6241860682;2026-05=0.5866985484;2026-06=0.5777406758;2026-07=0.6582536574,2016-12-30,0.5592815515987158,2,0.40299173256422693,0.34003591666361266,0.464512934885444,0.0,57,0.3505422275823351,0.466193689507064,-0.17363340192995935,1.8679506412456588,0.7142857142857143,14,119.9885117123429,0.3820069063476472,0.3837136672651944,0.4174775585276668,0.4715720592151237,2013-02-08~2013-06-25,2013-02-08,2013-06-25,0.810071120378618,0.9144557099806696,1.0,0,1.8677383408719808,2013-06-17,0.30397102658765557,2013-06-17,0.3039710265876556,2013-06-17,0.0,2012-02-14,0,1.559200816637855,261,7,5,0.6288456384804882,0.7666824784619819,1.0292991733250274,1.41752512682217,1.6198807115251956,1.9882782777273946,0.710948494230228,0.007599211933577259,0.3563218390804598,10.659676180677524,138.89655172413794,2019,746,5.85978994875885,002128/601088/000338/000933/000651,4.343642673393355,0.6221743928826866,1669651.4723320007,0.5565504907773335,3.82%（同期超额 +34.38%）
