period_type,period,return_pct
annual,2010,0.105891
annual,2011,-0.123064
annual,2012,0.261469
annual,2013,0.039280
annual,2014,0.372447
annual,2015,0.212620
annual,2016,0.170233
annual,2017,0.500925
annual,2018,-0.194994
annual,2019,0.456941
annual,2020,0.357531
annual,2021,0.259498
annual,2022,0.152462
annual,2023,0.031453
annual,2024,0.292009
annual,2025,0.319000
annual,2026,0.099928
monthly,2010-05,-0.000888
monthly,2010-06,-0.000610
monthly,2010-07,0.002956
monthly,2010-08,0.045030
monthly,2010-09,-0.001793
monthly,2010-10,0.118452
monthly,2010-11,-0.095164
monthly,2010-12,-0.011331
monthly,2011-01,-0.032462
monthly,2011-02,0.108426
monthly,2011-03,0.037491
monthly,2011-04,-0.017664
monthly,2011-05,-0.048389
monthly,2011-06,0.052098
monthly,2011-07,-0.011956
monthly,2011-08,-0.054011
monthly,2011-09,-0.067996
monthly,2011-10,0.026696
monthly,2011-11,-0.093436
monthly,2011-12,-0.033277
monthly,2012-01,0.080296
monthly,2012-02,0.049509
monthly,2012-03,-0.047359
monthly,2012-04,0.035581
monthly,2012-05,-0.019953
monthly,2012-06,-0.065973
monthly,2012-07,-0.013009
monthly,2012-08,-0.044668
monthly,2012-09,0.021679
monthly,2012-10,0.036217
monthly,2012-11,-0.009719
monthly,2012-12,0.198684
monthly,2013-01,0.059991
monthly,2013-02,-0.006896
monthly,2013-03,-0.035650
monthly,2013-04,-0.037639
monthly,2013-05,0.123153
monthly,2013-06,-0.057812
monthly,2013-07,-0.053765
monthly,2013-08,0.024341
monthly,2013-09,0.019665
monthly,2013-10,-0.018951
monthly,2013-11,0.043166
monthly,2013-12,0.002285
monthly,2014-01,-0.045410
monthly,2014-02,-0.020980
monthly,2014-03,-0.017000
monthly,2014-04,-0.000260
monthly,2014-05,0.013835
monthly,2014-06,-0.005536
monthly,2014-07,0.133645
monthly,2014-08,0.012393
monthly,2014-09,0.026441
monthly,2014-10,0.016233
monthly,2014-11,0.071538
monthly,2014-12,0.119101
monthly,2015-01,-0.048912
monthly,2015-02,0.044105
monthly,2015-03,0.086500
monthly,2015-04,0.087624
monthly,2015-05,0.012452
monthly,2015-06,0.048123
