period_type,period,return_pct
annual,2010,0.105891
annual,2011,-0.123064
annual,2012,0.236461
annual,2013,-0.098274
annual,2014,0.284074
annual,2015,0.203182
annual,2016,0.312703
annual,2017,0.581246
annual,2018,-0.195480
annual,2019,0.454951
annual,2020,0.359771
annual,2021,0.220390
annual,2022,-0.095554
annual,2023,-0.087032
annual,2024,0.150809
annual,2025,0.746484
annual,2026,0.034610
monthly,2010-05,-0.000888
monthly,2010-06,-0.000610
monthly,2010-07,0.002956
monthly,2010-08,0.045030
monthly,2010-09,-0.001793
monthly,2010-10,0.118452
monthly,2010-11,-0.095164
monthly,2010-12,-0.011331
monthly,2011-01,-0.032462
monthly,2011-02,0.108426
monthly,2011-03,0.037491
monthly,2011-04,-0.017664
monthly,2011-05,-0.048389
monthly,2011-06,0.052098
monthly,2011-07,-0.011956
monthly,2011-08,-0.054011
monthly,2011-09,-0.067996
monthly,2011-10,0.026696
monthly,2011-11,-0.093436
monthly,2011-12,-0.033277
monthly,2012-01,0.080296
monthly,2012-02,0.060610
monthly,2012-03,-0.040175
monthly,2012-04,0.027221
monthly,2012-05,-0.012958
monthly,2012-06,-0.071254
monthly,2012-07,-0.044119
monthly,2012-08,-0.054679
monthly,2012-09,0.041211
monthly,2012-10,0.040155
monthly,2012-11,-0.021882
monthly,2012-12,0.189730
monthly,2013-01,0.040775
monthly,2013-02,-0.034356
monthly,2013-03,-0.051146
monthly,2013-04,-0.024430
monthly,2013-05,0.112757
monthly,2013-06,-0.108226
monthly,2013-07,-0.041033
monthly,2013-08,0.041977
monthly,2013-09,0.003993
monthly,2013-10,-0.069426
monthly,2013-11,0.037159
monthly,2013-12,-0.009616
monthly,2014-01,-0.035234
monthly,2014-02,0.005016
monthly,2014-03,-0.005756
monthly,2014-04,0.000320
monthly,2014-05,0.015413
monthly,2014-06,0.001598
monthly,2014-07,0.095789
monthly,2014-08,0.023662
monthly,2014-09,0.028856
monthly,2014-10,-0.003004
monthly,2014-11,0.032326
monthly,2014-12,0.066619
monthly,2015-01,-0.022093
monthly,2015-02,0.050902
monthly,2015-03,0.067101
monthly,2015-04,0.084276
monthly,2015-05,0.008884
monthly,2015-06,0.019331
