period_type,period,return_pct
annual,2018,-0.082404
annual,2019,0.571700
annual,2020,0.210304
annual,2021,0.352206
annual,2022,0.139387
annual,2023,0.120169
annual,2024,0.221728
annual,2025,0.457546
annual,2026,-0.022318
monthly,2018-01,-0.002484
monthly,2018-02,0.002336
monthly,2018-03,0.003548
monthly,2018-04,-0.028218
monthly,2018-05,-0.014726
monthly,2018-06,-0.036094
monthly,2018-07,0.029587
monthly,2018-08,0.007725
monthly,2018-09,0.012947
monthly,2018-10,-0.033667
monthly,2018-11,0.059747
monthly,2018-12,-0.039697
monthly,2019-01,0.031389
monthly,2019-02,0.129276
monthly,2019-03,0.058421
monthly,2019-04,-0.012008
monthly,2019-05,0.011690
monthly,2019-06,0.020187
monthly,2019-07,0.008621
monthly,2019-08,0.014723
monthly,2019-09,-0.007404
monthly,2019-10,0.066959
monthly,2019-11,-0.007432
monthly,2019-12,0.070808
monthly,2020-01,0.000482
monthly,2020-02,0.079694
monthly,2020-03,-0.077935
monthly,2020-04,0.036980
monthly,2020-05,0.022895
monthly,2020-06,-0.002369
monthly,2020-07,0.113629
monthly,2020-08,-0.001046
monthly,2020-09,-0.017031
monthly,2020-10,0.008670
monthly,2020-11,0.096497
monthly,2020-12,-0.069902
monthly,2021-01,-0.011622
monthly,2021-02,0.040250
monthly,2021-03,0.000193
monthly,2021-04,-0.016872
monthly,2021-05,0.002116
monthly,2021-06,-0.031021
monthly,2021-07,0.015808
monthly,2021-08,0.201451
monthly,2021-09,0.020939
monthly,2021-10,-0.052826
monthly,2021-11,0.005402
monthly,2021-12,0.070775
monthly,2022-01,-0.045677
monthly,2022-02,0.022371
monthly,2022-03,-0.027541
monthly,2022-04,-0.033856
monthly,2022-05,0.085553
monthly,2022-06,0.022488
monthly,2022-07,0.004380
monthly,2022-08,-0.015375
monthly,2022-09,-0.022668
monthly,2022-10,-0.075791
monthly,2022-11,0.133719
monthly,2022-12,-0.008352
monthly,2023-01,0.074920
monthly,2023-02,-0.009517
monthly,2023-03,-0.015568
monthly,2023-04,0.023155
monthly,2023-05,-0.050313
monthly,2023-06,0.046108
monthly,2023-07,0.047944
monthly,2023-08,-0.051446
monthly,2023-09,0.006796
monthly,2023-10,-0.021317
monthly,2023-11,-0.003602
monthly,2023-12,-0.008302
monthly,2024-01,-0.011462
monthly,2024-02,0.113308
monthly,2024-03,-0.001871
monthly,2024-04,0.024962
monthly,2024-05,-0.000097
monthly,2024-06,-0.073073
monthly,2024-07,-0.020640
monthly,2024-08,-0.069716
monthly,2024-09,0.292170
monthly,2024-10,-0.054914
monthly,2024-11,-0.011077
monthly,2024-12,-0.032926
monthly,2025-01,0.028272
monthly,2025-02,0.028791
monthly,2025-03,0.063677
monthly,2025-04,-0.047001
monthly,2025-05,0.039966
monthly,2025-06,0.031402
monthly,2025-07,0.059419
monthly,2025-08,0.050612
monthly,2025-09,0.013200
monthly,2025-10,0.013920
monthly,2025-11,0.017201
monthly,2025-12,0.011426
monthly,2026-01,0.034451
monthly,2026-02,0.039083
monthly,2026-03,-0.029585
monthly,2026-04,-0.001631
monthly,2026-05,-0.034760
monthly,2026-06,-0.083345
monthly,2026-07,0.111489
monthly,2026-08,-0.026145
